0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
0.2,杭州-临安区,二级建造师（建筑专业）
1.0,杭州-西湖区,销售经理（MES/PLM）
1.0,杭州-滨江区,平台运营项目经理（国企+五险一金+双休）
1.0,杭州-余杭区,前期专员
1.4,杭州-滨江区,行业客户经理（广电/媒体/金融/证券/保险）
0.7,异地招聘,浙江地区广电行业客户经理
1.2,杭州,广电行业销售经理（杭州）
0.4,异地招聘,大量招聘一级建造师 专业不限 多本
0.6,杭州,产品技术经理
